INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (798, 'Item 798', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (515, 'Item 515', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (991, 'Item 991', 21);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (237, 'Item 237', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (196, 'Item 196', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (876, 'Item 876', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (538, 'Item 538', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (738, 'Item 738', 13);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (533, 'Item 533', 15);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (203, 'Item 203', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (626, 'Item 626', 21);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (460, 'Item 460', 4);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (974, 'Item 974', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (174, 'Item 174', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (549, 'Item 549', 19);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (721, 'Item 721', 14);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (928, 'Item 928', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (325, 'Item 325', 4);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (127, 'Item 127', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (340, 'Item 340', 14);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (521, 'Item 521', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (768, 'Item 768', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (707, 'Item 707', 16);
