INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (59475905, 70352926, 557849, 'Completed', '2023-09-19 14:44:34.951498', '2023-09-19 15:34:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (31219640, 90220546, 322061, 'Cancelled', '2023-12-05 20:53:34.951498', '2023-12-05 21:03:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (57184701, 81921026, 138528, 'Pending', '2023-08-02 01:46:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (48478186, 27511833, 502854, 'Completed', '2023-09-11 00:58:34.951498', '2023-09-11 01:48:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (73807694, 45780866, 245622, 'Pending', '2023-12-09 16:10:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (19669953, 44072938, 962397, 'Cancelled', '2024-04-14 20:35:34.951498', '2024-04-14 20:45:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (36974268, 86826074, 616687, 'Cancelled', '2023-08-20 12:41:34.951498', '2023-08-20 12:51:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (80370612, 96315122, 795611, 'In Progress', '2023-11-25 05:56:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (60941758, 83516278, 978846, 'In Progress', '2024-01-23 09:34:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (94946131, 29254174, 499720, 'Pending', '2024-01-16 09:14:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (20020425, 24963816, 347793, 'In Progress', '2023-06-24 17:42:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (17876826, 61442794, 206680, 'In Progress', '2024-02-27 19:50:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (66129910, 37411639, 437109, 'Cancelled', '2023-08-27 08:06:34.951498', '2023-08-27 08:16:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (27564896, 48053430, 974709, 'In Progress', '2024-03-16 08:33:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (70384605, 53550108, 616687, 'In Progress', '2023-06-29 06:06:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (92549022, 86670131, 118135, 'Cancelled', '2024-02-05 12:05:34.951498', '2024-02-05 12:15:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (44493808, 91581047, 245622, 'Pending', '2024-03-23 23:52:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (48164322, 53377998, 882666, 'Completed', '2024-02-23 12:40:34.951498', '2024-02-23 13:30:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (43640224, 28423478, 182064, 'Cancelled', '2024-06-06 10:01:34.951498', '2024-06-06 10:11:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (44383950, 76352864, 206680, 'Pending', '2024-01-30 01:20:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (89924950, 67054465, 805310, 'Completed', '2024-03-04 10:41:34.951498', '2024-03-04 11:31:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (30107190, 80954497, 463214, 'Cancelled', '2024-03-31 20:15:34.951498', '2024-03-31 20:25:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (86353743, 64378848, 463145, 'Pending', '2024-06-10 21:29:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (56006874, 94456519, 616687, 'Cancelled', '2023-10-04 15:05:34.951498', '2023-10-04 15:15:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (45244848, 65791221, 206680, 'Completed', '2023-11-08 17:48:34.951498', '2023-11-08 18:38:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47747099, 40931129, 356136, 'Pending', '2023-09-20 22:15:34.951498', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (22082557, 73180694, 356136, 'Completed', '2023-09-27 05:14:34.951498', '2023-09-27 06:04:34.951498');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (58977387, 49399971, 812358, 'Completed', '2023-07-25 06:23:34.951498', '2023-07-25 07:13:34.951498');
