INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (78086798, 33930659, 509089, 'Pending', '2023-07-22 23:56:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (30896005, 54621609, 709925, 'Cancelled', '2024-02-25 20:17:05.001091', '2024-02-25 20:27:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (79021950, 85606638, 709925, 'Completed', '2024-06-09 21:55:05.001091', '2024-06-09 22:45:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (49135774, 14565996, 805310, 'Completed', '2023-09-17 11:23:05.001091', '2023-09-17 12:13:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (99444853, 43136543, 502854, 'In Progress', '2023-09-12 00:14:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (92485875, 99890469, 245622, 'Pending', '2023-12-16 01:47:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (65116886, 45635221, 322061, 'Completed', '2023-08-29 19:07:05.001091', '2023-08-29 19:57:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (59766596, 11078597, 974709, 'Pending', '2023-08-10 18:54:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (14194962, 63046772, 759850, 'Completed', '2023-10-27 09:02:05.001091', '2023-10-27 09:52:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (51594961, 75345256, 995329, 'Cancelled', '2023-12-10 18:00:05.001091', '2023-12-10 18:10:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (49587534, 93266320, 509089, 'Cancelled', '2024-02-16 04:05:05.001091', '2024-02-16 04:15:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (24742742, 45676415, 118135, 'Pending', '2023-06-28 09:09:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88900925, 33847155, 463145, 'In Progress', '2023-12-20 22:42:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88624350, 93361116, 182064, 'Completed', '2023-11-17 20:10:05.001091', '2023-11-17 21:00:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (45489115, 22018976, 133689, 'Pending', '2023-09-17 01:49:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (39908246, 53874295, 138528, 'Pending', '2023-10-12 02:26:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (74700434, 11804036, 502854, 'Completed', '2024-06-03 00:23:05.001091', '2024-06-03 01:13:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (22960273, 83588990, 777768, 'Completed', '2024-04-13 07:47:05.001091', '2024-04-13 08:37:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (70420470, 38870677, 643380, 'Cancelled', '2023-09-25 01:12:05.001091', '2023-09-25 01:22:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88759713, 97318392, 973965, 'In Progress', '2023-11-01 09:42:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (23228833, 80126056, 103638, 'Completed', '2023-08-01 08:14:05.001091', '2023-08-01 09:04:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (65971805, 74122624, 245622, 'Cancelled', '2023-12-18 12:31:05.001091', '2023-12-18 12:41:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (48272621, 85415850, 805310, 'In Progress', '2024-03-19 14:28:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (63032358, 60107171, 579127, 'Cancelled', '2024-01-03 08:09:05.001091', '2024-01-03 08:19:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47382011, 23170972, 882666, 'Pending', '2024-04-20 01:54:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (67465022, 34415522, 685930, 'In Progress', '2023-11-20 08:59:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (37160288, 86972186, 502854, 'Completed', '2024-01-18 17:56:05.001091', '2024-01-18 18:46:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (70035967, 31881730, 307224, 'Completed', '2023-07-12 02:13:05.001091', '2023-07-12 03:03:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (54652298, 23142505, 685930, 'Completed', '2024-04-29 15:55:05.001091', '2024-04-29 16:45:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (65032270, 96383702, 502854, 'Completed', '2023-08-15 03:08:05.001091', '2023-08-15 03:58:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (67090743, 30597673, 973965, 'Cancelled', '2023-11-24 00:24:05.001091', '2023-11-24 00:34:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (96025911, 91603933, 709925, 'In Progress', '2023-07-18 18:05:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (20620342, 69628251, 174581, 'Cancelled', '2023-08-14 12:40:05.001091', '2023-08-14 12:50:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (64506323, 51599511, 589694, 'Cancelled', '2024-03-16 06:01:05.001091', '2024-03-16 06:11:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (92045466, 74356218, 103638, 'Completed', '2023-08-14 07:10:05.001091', '2023-08-14 08:00:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (44754390, 22754799, 616687, 'Completed', '2024-01-08 16:32:05.001091', '2024-01-08 17:22:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (23674032, 35540391, 643380, 'Completed', '2023-12-18 05:01:05.001091', '2023-12-18 05:51:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (91183818, 98019349, 356136, 'Pending', '2024-05-27 04:29:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (61247384, 20823054, 754447, 'Completed', '2023-11-10 20:02:05.001091', '2023-11-10 20:52:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47227470, 58489434, 298232, 'Completed', '2023-10-25 10:55:05.001091', '2023-10-25 11:45:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (99831393, 82498537, 133689, 'In Progress', '2023-11-25 11:30:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (70098737, 69584878, 174581, 'Completed', '2023-12-31 10:37:05.001091', '2023-12-31 11:27:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88006884, 55013241, 347793, 'Pending', '2024-04-07 02:22:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (96952754, 71575114, 962397, 'In Progress', '2023-11-18 20:21:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (76530147, 68344852, 463214, 'Completed', '2023-11-14 03:36:05.001091', '2023-11-14 04:26:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (27020608, 93534931, 161174, 'Completed', '2023-11-13 11:16:05.001091', '2023-11-13 12:06:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (27483384, 17198640, 579127, 'Pending', '2023-08-15 21:48:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (29978818, 42291048, 812358, 'Completed', '2024-05-26 10:55:05.001091', '2024-05-26 11:45:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (28609063, 72002609, 616687, 'Completed', '2023-07-31 17:04:05.001091', '2023-07-31 17:54:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (92034723, 61313231, 973965, 'In Progress', '2023-11-27 12:01:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (40015551, 13710242, 437109, 'Completed', '2024-01-09 00:55:05.001091', '2024-01-09 01:45:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (46762114, 81901418, 347793, 'In Progress', '2024-06-19 03:50:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (84802750, 78631257, 795611, 'Pending', '2023-06-26 10:30:05.001091', NULL);
