INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (72824099, 491377, '897122', '2024-03-16 05:08:00.175614', 'Pending', 768.5, {'788': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (85846740, 482179, '161763', '2024-04-13 22:27:00.175614', 'Completed', 278.90999999999997, {'408': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (33786365, 106768, '161763', '2024-01-02 14:18:00.175614', 'In Progress', 266.64, {'157': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (89176233, 139475, '400851', '2023-08-29 17:09:00.175614', 'Cancelled', 359.04, {'541': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (62146859, 641539, '161763', '2024-06-08 00:21:00.175614', 'Cancelled', 301.2, {'755': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (83209223, 361711, '549469', '2023-08-21 10:56:00.175614', 'Completed', 169.0, {'160': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (34984255, 789959, '365193', '2024-03-11 20:53:00.175614', 'Completed', 277.29, {'578': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (48461333, 948769, '516536', '2023-08-25 20:01:00.175614', 'In Progress', 505.2, {'669': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (22754799, 357214, '549469', '2023-11-08 18:16:00.175614', 'Cancelled', 186.58, {'842': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (91041063, 624595, '216182', '2024-03-25 08:13:00.175614', 'In Progress', 150.28, {'975': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (96038568, 283172, '202305', '2023-10-12 08:08:00.175614', 'Pending', 392.16, {'723': 4});
