INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (477, 'Item 477', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (123, 'Item 123', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (172, 'Item 172', 2);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (452, 'Item 452', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (725, 'Item 725', 9);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (234, 'Item 234', 22);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (130, 'Item 130', 9);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (882, 'Item 882', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (341, 'Item 341', 2);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (286, 'Item 286', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (621, 'Item 621', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (591, 'Item 591', 13);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (851, 'Item 851', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (421, 'Item 421', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (451, 'Item 451', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (351, 'Item 351', 17);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (270, 'Item 270', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (634, 'Item 634', 4);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (744, 'Item 744', 19);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (608, 'Item 608', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (541, 'Item 541', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (282, 'Item 282', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (212, 'Item 212', 16);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (297, 'Item 297', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (505, 'Item 505', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (833, 'Item 833', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (411, 'Item 411', 18);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (688, 'Item 688', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (239, 'Item 239', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (494, 'Item 494', 18);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (131, 'Item 131', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (617, 'Item 617', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (375, 'Item 375', 4);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (147, 'Item 147', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (981, 'Item 981', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (765, 'Item 765', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (960, 'Item 960', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (670, 'Item 670', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (712, 'Item 712', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (871, 'Item 871', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (419, 'Item 419', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (169, 'Item 169', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (716, 'Item 716', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (559, 'Item 559', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (665, 'Item 665', 16);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (975, 'Item 975', 11);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (139, 'Item 139', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (684, 'Item 684', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (706, 'Item 706', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (695, 'Item 695', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (116, 'Item 116', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (753, 'Item 753', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (450, 'Item 450', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (850, 'Item 850', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (157, 'Item 157', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (432, 'Item 432', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (417, 'Item 417', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (371, 'Item 371', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (950, 'Item 950', 14);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (328, 'Item 328', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (336, 'Item 336', 2);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (424, 'Item 424', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (316, 'Item 316', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (178, 'Item 178', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (220, 'Item 220', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (493, 'Item 493', 4);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (164, 'Item 164', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (180, 'Item 180', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (469, 'Item 469', 17);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (474, 'Item 474', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (679, 'Item 679', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (864, 'Item 864', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (105, 'Item 105', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (842, 'Item 842', 4);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (671, 'Item 671', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (628, 'Item 628', 9);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (781, 'Item 781', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (120, 'Item 120', 7);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (340, 'Item 340', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (530, 'Item 530', 2);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (430, 'Item 430', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (627, 'Item 627', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (893, 'Item 893', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (134, 'Item 134', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (802, 'Item 802', 4);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (350, 'Item 350', 10);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (606, 'Item 606', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (711, 'Item 711', 9);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (526, 'Item 526', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (268, 'Item 268', 1);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (645, 'Item 645', 6);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (740, 'Item 740', 5);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (447, 'Item 447', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (813, 'Item 813', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (454, 'Item 454', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (890, 'Item 890', 8);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (807, 'Item 807', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (582, 'Item 582', 3);
INSERT INTO agregados_vendas (item_id, nome, quantidade_total) VALUES (721, 'Item 721', 7);
