INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (69077540, 57258950, 499152, 'Completed', '2023-07-26 13:31:02.583763', '2023-07-26 14:21:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (31772480, 42587855, 384201, 'Completed', '2023-07-15 07:02:02.583763', '2023-07-15 07:52:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (52928215, 52961761, 267480, 'In Progress', '2023-08-20 04:19:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (52896816, 30388769, 446961, 'In Progress', '2023-12-09 15:11:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (79284252, 93806551, 446961, 'In Progress', '2024-06-06 14:30:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (19980245, 23213511, 267480, 'Completed', '2023-11-04 01:28:02.583763', '2023-11-04 02:18:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (32954101, 67470864, 397612, 'Completed', '2023-06-26 05:41:02.583763', '2023-06-26 06:31:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (23647337, 25364460, 522057, 'In Progress', '2024-04-27 11:34:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (66117698, 33675291, 453010, 'In Progress', '2023-09-22 00:57:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (12036034, 25248106, 758958, 'Completed', '2023-10-24 09:41:02.583763', '2023-10-24 10:31:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (53818885, 57122146, 289761, 'Completed', '2023-07-08 09:03:02.583763', '2023-07-08 09:53:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (45149355, 46224298, 210096, 'In Progress', '2024-04-20 11:26:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (50332401, 95622102, 758958, 'In Progress', '2023-07-11 00:20:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (78701341, 18337148, 621346, 'Completed', '2024-01-26 00:29:02.583763', '2024-01-26 01:19:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (59028927, 66807270, 550993, 'In Progress', '2024-05-03 12:08:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (71286540, 64547490, 222147, 'Completed', '2023-10-23 03:24:02.583763', '2023-10-23 04:14:02.583763');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (66266451, 32776058, 922304, 'In Progress', '2023-10-02 17:51:02.583763', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (50540937, 48314513, 289761, 'Completed', '2024-04-10 16:39:02.583763', '2024-04-10 17:29:02.583763');
