INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (67842979, 690628, '772186', '2023-08-05 00:10:02.579212', 'Cancelled', 469.75, {'494': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (52734689, 943171, '450666', '2023-09-06 17:36:02.579212', 'Pending', 26.86, {'477': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (57258950, 421624, '450666', '2023-09-09 12:23:02.579212', 'Completed', 44.64, {'123': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (48265876, 550993, '281595', '2024-01-31 22:36:02.579212', 'Pending', 530.48, {'172': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (42587855, 740973, '450666', '2024-01-19 10:54:02.579212', 'In Progress', 32.38, {'452': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (52961761, 345926, '872427', '2023-08-19 20:40:02.579212', 'In Progress', 56.56, {'725': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (30388769, 509959, '281595', '2024-04-16 04:11:02.579212', 'In Progress', 347.45, {'234': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (38849679, 882859, '365697', '2024-05-06 16:38:02.579212', 'Pending', 170.7, {'130': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (57402649, 943462, '365697', '2024-03-29 13:38:02.579212', 'Cancelled', 235.92, {'781': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (93806551, 371085, '625762', '2023-11-20 09:17:02.579212', 'Completed', 208.74, {'882': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (23213511, 972541, '465096', '2024-05-21 18:47:02.579212', 'In Progress', 194.32000000000002, {'341': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (67470864, 602617, '625762', '2024-05-17 08:59:02.579212', 'Completed', 81.12, {'286': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (25364460, 404521, '872427', '2024-02-01 09:06:02.579212', 'In Progress', 553.4000000000001, {'621': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (33675291, 117803, '872427', '2024-04-07 01:17:02.579212', 'In Progress', 212.6, {'591': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (67589922, 393351, '610876', '2023-09-03 23:09:02.579212', 'Cancelled', 129.14999999999998, {'545': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (37300870, 189250, '872427', '2023-07-16 09:58:02.579212', 'Cancelled', 101.84, {'981': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (25248106, 776588, '281595', '2023-06-26 14:00:02.579212', 'Completed', 486.42999999999995, {'234': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (57122146, 625058, '872427', '2024-06-21 05:17:02.579212', 'In Progress', 535.0799999999999, {'851': 7});
