Segmento	CNPJ	Nome	ingestion_date	schema_version	validation_status
S1	0	BANCO DO BRASIL	2024-08-08 20:53:42.245131	1.0	Valid
S1	60746948	BRADESCO	2024-08-08 20:53:42.245131	1.0	Valid
S1	30306294	BTG PACTUAL	2024-08-08 20:53:42.245131	1.0	Valid
S1	360305	CAIXA ECONOMICA FEDERAL	2024-08-08 20:53:42.245131	1.0	Valid
S1	60872504	ITAU	2024-08-08 20:53:42.245131	1.0	Valid
S1	90400888	SANTANDER	2024-08-08 20:53:42.245131	1.0	Valid
S2	92702067	BANRISUL	2024-08-08 20:53:42.245131	1.0	Valid
S2	7237373	BANCO DO NORDESTE DO BRASIL S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S2	33657248	BNDES	2024-08-08 20:53:42.245131	1.0	Valid
S2	33479023	CITIBANK	2024-08-08 20:53:42.245131	1.0	Valid
S2	33987793	CREDIT SUISSE	2024-08-08 20:53:42.245131	1.0	Valid
S2	58160789	SAFRA	2024-08-08 20:53:42.245131	1.0	Valid
S2	59588111	VOTORANTIM	2024-08-08 20:53:42.245131	1.0	Valid
S3	28195667	ABC-BRASIL	2024-08-08 20:53:42.245131	1.0	Valid
S3	60770336	ALFA	2024-08-08 20:53:42.245131	1.0	Valid
S3	655522	APE POUPEX	2024-08-08 20:53:42.245131	1.0	Valid
S3	2992446	BANCO CNH INDUSTRIAL CAPITAL S.A	2024-08-08 20:53:42.245131	1.0	Valid
S3	2038232	BANCOOB	2024-08-08 20:53:42.245131	1.0	Valid
S3	28127603	BANESTES	2024-08-08 20:53:42.245131	1.0	Valid
S3	31597552	BANCO CLASSICO S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	8357240	BANCO CSF S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	4902979	BANCO DA AMAZONIA S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	62232889	BANCO DAYCOVAL S.A	2024-08-08 20:53:42.245131	1.0	Valid
S3	38486817	BANCO DES. DE MG S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	58616418	BANCO FIBRA S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	1023570	BANCO RABOBANK INTL BRASIL S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	60518222	BANCO SUMITOMO MITSUI BRASIL S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	60498557	BANCO TOKYO-MITSUBISHI BM S.A.	2024-08-08 20:53:42.245131	1.0	Valid
S3	92816560	BD REGIONAL DO EXTREMO SUL	2024-08-08 20:53:42.245131	1.0	Valid
S3	61186680	BMG	2024-08-08 20:53:42.245131	1.0	Valid
S3	1522368	BNP PARIBAS	2024-08-08 20:53:42.245131	1.0	Valid
S3	62073200	BOFA MERRILL LYNCH	2024-08-08 20:53:42.245131	1.0	Valid
S3	208	BRB	2024-08-08 20:53:42.245131	1.0	Valid
S3	7450604	CCB	2024-08-08 20:53:42.245131	1.0	Valid
S3	87437687	COOPERATIVA CENTRAL DE CREDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL	2024-08-08 20:53:42.245131	1.0	Valid
S3	80230774	COOPERATIVA CENTRAL DE CREDITO E INVESTIMENTO DOS ESTADOS DO PARANA, SAO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ	2024-08-08 20:53:42.245131	1.0	Valid
S3	75647891	CREDIT AGRICOLE	2024-08-08 20:53:42.245131	1.0	Valid
S3	62331228	DEUTSCHE	2024-08-08 20:53:42.245131	1.0	Valid
S3	59274605	GMAC	2024-08-08 20:53:42.245131	1.0	Valid
S3	4332281	GOLDMAN SACHS	2024-08-08 20:53:42.245131	1.0	Valid
S3	34111187	HAITONG	2024-08-08 20:53:42.245131	1.0	Valid
S3	49336860	ING	2024-08-08 20:53:42.245131	1.0	Valid
S3	33172537	JP MORGAN CHASE	2024-08-08 20:53:42.245131	1.0	Valid
S3	17184037	MERCANTIL DO BRASIL	2024-08-08 20:53:42.245131	1.0	Valid
S3	60814191	MERCEDES-BENZ	2024-08-08 20:53:42.245131	1.0	Valid
S3	2801938	MORGAN STANLEY	2024-08-08 20:53:42.245131	1.0	Valid
