employer_name	reviews_count	culture_count	salaries_count	benefits_count	employer-website	employer-headquarters	employer-founded	employer-industry	employer-revenue	url	Geral	Cultura e valores	Diversidade e inclusão	Qualidade de vida	Alta liderança	Remuneração e benefícios	Oportunidades de carreira	Recomendam para outras pessoas(%)	Perspectiva positiva da empresa(%)	CNPJ	Nome	match_percent	Segmento	ingestion_date	schema_version	validation_status
Apex Group	450	281	592	74	http://www.apexgroup.com	Hamilton, Bermuda	2003.0	/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Apex-Group-EI_IE764729.13,23.htm	3.2	2.9	3.5	3.0	2.9	2.7	3.2	52.0	53.0	655522	APE POUPEX	70		2024-08-08 20:59:41.278820	1.0	Valid
Banco Alfa	175	74	271	105	http://www.alfanet.com.br	São Paulo, Brasil	1925.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Desconhecida/não se aplica	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm	3.5	3.2	3.2	3.1	2.8	3.8	2.7	68.0	47.0	58160789	SAFRA	67		2024-08-08 20:59:41.278820	1.0	Valid
China Construction Bank	871	194	720	240	http://www.ccb.com	Pequim, China		/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-China-Construction-Bank-EI_IE12617.13,36.htm	3.4	3.0	3.0	3.4	2.9	3.5	2.8	54.0	42.0	7450604	CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/	77		2024-08-08 20:59:41.278820	1.0	Valid
Mercedes-Benz Mobility	282	90	513	118	https://www.mercedes-benz-mobility.com/de/karriere/	Estugarda, Alemanha	1990.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercedes-Benz-Mobility-EI_IE38563.13,35.htm	4.1	4.1	4.0	4.4	3.7	4.0	3.6	87.0	51.0	60814191	MERCEDES-BENZ	73		2024-08-08 20:59:41.278820	1.0	Valid
Sumitomo Mitsui Financial Group	903	246	1300	290	http://www.smfg.co.jp	Tóquio, Japão	1996.0	/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sumitomo-Mitsui-Financial-Group-EI_IE256138.13,44.htm	3.4	3.2	3.3	3.4	3.1	3.3	3.1	56.0	53.0	60518222	BANCO SUMITOMO MITSUI BRASIL S.A.	65		2024-08-08 20:59:41.278820	1.0	Valid
BNP Paribas	13000	4100	20000	3600	http://www.group.bnpparibas	Paris, França	2000.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm	3.8	3.7	4.0	3.8	3.4	3.4	3.5	77.0	63.0		BNP PARIBAS	100	S3	2024-08-08 20:59:41.278820	1.0	Valid
BTG Pactual	1600	683	2800	635	http://www.btgpactual.com	São Paulo, Brasil		/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm	Desconhecida/não se aplica	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm	4.0	3.7	3.5	2.8	3.7	4.4	4.2	78.0	73.0		BTG PACTUAL	100	S1	2024-08-08 20:59:41.278820	1.0	Valid
Banco Alfa	175	74	271	105	http://www.alfanet.com.br	São Paulo, Brasil	1925.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Desconhecida/não se aplica	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm	3.5	3.2	3.2	3.1	2.8	3.8	2.7	68.0	47.0		ALFA	100	S3	2024-08-08 20:59:41.278820	1.0	Valid
Banco BMG	445	232	704	277	http://www.bancobmg.com.br	São Paulo, Brasil	1930.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	De US$ 1 a US$ 5 milhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm	4.1	3.9	4.1	3.7	3.6	4.2	3.5	79.0	63.0		BMG	100	S3	2024-08-08 20:59:41.278820	1.0	Valid
Banco Bradesco	11000	3300	19000	3200	http://www.bancobradesco.com.br	Osasco, Brasil	1943.0	/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm	Mais de US$ 10 bilhões	https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm	4.2	3.8	3.9	3.4	3.4	4.3	3.8	81.0	66.0		BRADESCO	100	S1	2024-08-08 20:59:41.278820	1.0	Valid
